Suivi des alertes,Report des alertes (19/05),Nouvelles alertes (20/05),Total des alertes du jour (20/05),Alertes vivants,Alertes décédés,Alertes investiguées,Alertes non investiguées,Alertes validées,Alertes invalidées,Cas suspects prélevés,Cas suspects non prélévés,Cas suspects isolés,Cas suspects non isolés
Nizi,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Lita,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Fataki,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Logo,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Aungba,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Rethy,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Komanda,0,2,2,2,1 (com),2,0,2,0,2,0,1,0
Bambu,0,1,1,0,1 (com),1,0,1,0,0,1 (décès),0,0
Mangala,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Lolwa,0,1,1,0,1,1,0,1,0,0,1,0,0
