Indicateurs,Résultats
Proportion de PoC activés,"80,0% (44/55)"
Nombre des voyageurs passés,54 660
% des voyageurs screenés,"98,0%"
% des voyageurs ayant lavé les mains,"97,5%"
% des voyageurs sensibilisés,"99,0%"
Nombre d’alertes notifiées,4
% d’alertes investiguées ou corps sans vie swabé dans 24h,"100,0%"
Nombre d'alertes validées,4
% de résultats disponibles dans 24h,"50,0%"
Nombre d’alertes transférées au CT/CTE ou pour EDS,0
Nombre de contacts interceptés ce jour,0
