Indicateurs,Ituri,Nord-Kivu,Tshopo,Global
Proportion de PoC activés et PoE renforcés,100 % (60/60),100 % (16/16),"21,1 % (4/19)","84,2 % (80/95)"
Nombre de personnes passées aux PoE/PoC,98 423,53 748,3 765,155 936
% des voyageurs screenés,"95,3 %","96,9 %","98,6 %","96,0 %"
% des voyageurs ayant lavé les mains,"92,9 %","96,9 %","98,9 %","94,4 %"
% des voyageurs sensibilisés,"99,4 %","96,9 %",100 %,"98,6 %"
Nombre d'alertes notifiées,9,2,0,11
Nombre d'alertes vivantes validées,6,0,0,6
Nombre de corps sans vie interceptés ce jour,2,2,0,4
Nombre de contacts à problème interceptés ce jour,0,0,0,0
% d'alertes vivantes validées référées au CT/CTE,"100,0% (6/6)","0,0%","0,0%","100,0% (6/6)"
% des corps sans vie swabés,"100,0% (2/2)","100,0% (2/2)",NA,"100,0% (4/4)"
Nombre de résultat positif des cas suspects référés,0,0,0,0
