Province,Contacts sous suivi,Contacts vus,Taux de suivi
Ituri*,10 901,8 245,"75,6%"
Nord-Kivu*,4 307,3 606,"83,7%"
Tshopo,33,30,"90,9%"
Haut-Uélé,199,129,"64,8%"
Sud-Kivu (fin de suivi),0,0,NA
Total,15 440,12 010,"77,8 %"
