Province,Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées,Nouveaux cas confirmés(24h)
Ituri,4750,2 133,"44,9%","28/36 (77,8 %)",34
Nord-Kivu,753,512,"68,0%","13/34 (38,2 %)",18
Haut-Uélé,189,89,"47,1%","6/13 (46,1 %)",5
Tshopo,15,8,"53,3%","7/23 (30,4 %)",0
Sud-Kivu,3,1,"33,3%","1/34 (2,9 %)",0
Bas Uélé,3,1,"33,3%","3/11(27,3%)",0
Total,5 713,2 744,"48,0%","58/151 (38,4 %)",57
