Indicateurs,Ituri,Nord-Kivu,Global
Proportion de PoC activés et PoE renforcés,100 % (60/60),100 % (15/15),100 % (75/75)
Nombre de personnes passées aux PoE/PoC,112190,68 304,180 494
% des voyageurs screenés,"95,0 %","97,2 %","95,8 %"
% des voyageurs ayant lavé les mains,"93,5 %","97,3 %","94,9 %"
% des voyageurs sensibilisés,"93,4 %","97,2 %","94,8 %"
Nombre d'alertes notifiées,12,2,14
Nombre d'alertes vivantes validées,9,1,10
Nombre de corps sans vie interceptés ce jour,2,0,2
Nombre de contacts à problème interceptés ce jour,0,0,0
% d'alertes vivantes validées référées au CT/CTE,"100,0 %",100%,"100,0 %"
% des corps sans vie swabés,NA,NA,0%
Nombre de résultat positif des cas suspects référés,0,0,0
