Zones de santé,Suivi journalier Report du 22/05/2026,Suivi journalier Nouveaux contacts le 20/05/2026,Suivi journalier Contact à suivre ce jour,Suivi journalier Contacts vus,Suivi journalier Sorties 21 Jrs,Suivi journalier Devenus Suspects,Taux de suivi,Total non vus,Raison de non vus Simple Absence,Raison de non vus Perdus de vue (≥72 heures),Raison de non vus Jamais vus,Raison de non vus Refus,Raison de non vus Déplacés,Raison de non vus Reco n'est pas passé,Reste à suivre le jour suivant
Bunia,290,71,361,71,0,10,20%,290,0,0,0,0,0,290,361
Rwampara,621,ND,621,ND,ND,ND,0%,621,ND,ND,ND,ND,ND,ND,621
Nyankunde,340,25,365,234,0,1,64%,131,99,1,0,0,0,31,365
Mongbwalu,176,46,222,46,0,2,21%,176,0,0,0,0,0,176,222
Kilo,176,ND,176,ND,ND,ND,0%,176,ND,ND,ND,ND,ND,ND,176
Aru,ND,ND,ND,ND,ND,ND,"","",ND,ND,ND,ND,ND,ND,""
Nizi,ND,ND,ND,ND,ND,ND,"","",ND,ND,ND,ND,ND,ND,""
Total,1603,142,1745,351,0,13,20%,1394,99,1,0,0,0,1294,1745
