Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24 h) Nouv. cas,Situation du jour (24 h) Décès communautaires (Swab+).,Situation du jour (24 h) Décès confirmés intra-CTE,Situation du jour (24 h) Total décès confirmés
Ituri,3 176,1 311,"41,3%",52,7,13,20
Adja,11,1,"9,1%",0,0,0,0
Aru,5,5,"100,0%",0,0,0,0
Ariwara,7,2,"28,6%",0,0,0,0
Aungba,9,5,"55,6%",3,1,0,1
Bambu,60,12,"20,0%",1,0,0,0
Boga,1,1,"100,0%",0,0,0,0
Bunia,880,257,"29,2%",32,4,5,9
Damas,17,8,"47,1%",1,0,0,0
Drodro,10,6,"60,0%",0,0,1,1
Fataki,27,12,"44,4%",0,0,0,0
Gethy,1,0,"0,0%",0,0,0,0
Kambala,2,0,"0,0%",0,0,0,0
Kilo,29,11,"37,9%",1,0,0,0
Komanda,36,25,"69,4%",0,0,0,0
Lita,131,75,"57,3%",2,0,3,3
Logo,9,3,"33,3%",0,0,0,0
Lolwa,7,2,"28,6%",0,0,0,0
Mahagi,4,1,"25,0%",0,0,0,0
Mambasa,9,6,"66,7%",0,0,0,0
Mandima,16,12,"75,0%",0,0,0,0
Mangala,101,64,"63,4%",1,0,0,0
Mongbwalu,541,258,"47,7%",1,0,1,1
Nia-Nia,95,50,"52,6%",1,0,1,1
Nizi,377,179,"47,5%",1,1,0,1
Nyankunde,114,31,"27,2%",0,0,0,0
Rimba,9,4,"44,4%",1,0,0,0
Rwampara,627,257,"41,0%",7,1,2,3
Tchomia,41,24,"58,5%",0,0,0,0
Nord-Kivu,366,242,"66,1%",15,4,0,4
Beni,50,41,"82,0%",0,0,0,0
Butembo,82,64,"78,0%",4,1,0,1
Goma,1,0,"0,0%",0,0,0,0
Kalunguta,5,3,"60,0%",0,0,0,0
Katwa,166,100,"60,2%",8,2,0,2
Kyondo,13,8,"61,5%",1,1,0,1
Mabalako,1,0,"0,0%",0,0,0,0
Masereka,4,0,"0,0%",0,0,0,0
Musienene,39,22,"56,4%",2,0,0,0
Oicha,4,3,"75,0%",0,0,0,0
Vuhovi,1,1,"100,0%",0,0,0,0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Miti-Murhesa,3,1,"33,3%",0,0,0,0
Haut-Uélé,53,28,"52,8%",6,0,0,0
Boma Mangbetu,12,4,"33,3%",4,0,0,0
Isiro,16,9,"56,2%",2,0,0,0
Pawa,9,7,"77,8%",0,0,0,0
Rungu,1,0,"0,0%",0,0,0,0
Wamba,15,8,"53,3%",0,0,0,0
Tshopo,7,5,"71,4%",0,0,0,0
Kabondo,1,1,"100,0%",0,0,0,0
Lubunga,1,0,"0,0%",0,0,0,0
Makiso-Kisangani,4,3,"75,0%",0,0,0,0
Mangobo,1,1,"100,0%",0,0,0,0
Total,3 605,1 587,"44,0%",73,11,13,24
