Province,Contacts sous suivi (n),Contacts vus (n),Taux de suivi (%)
Ituri,4 659,3 297,"70,8%"
Nord-Kivu,1 628,1 148,"70,5%"
Sud-Kivu,80,80,"100,0%"
Total,6 367,4 525,"71,1%"
