Indicateur,Ituri,Nord-Kivu,Tshopo,Ensemble
Patients au lit (J-1),541,149,4,694
Total admissions (24 h),80,52,1,133
Sorties décédés,18,1,0,19
Sorties Non-cas,34,12,1,47
Sorties Guéris,13,2,0,15
Sorties Evadés,12,0,0,12
Sorties Transférés à l'HGR,0,0,0,0
Total sorties (24 h),77,13,1,91
Patients en isolement (fin J),544,188,4,736
Patients en isolement (fin J) dont confirmés,249,20,1,270
Patients en isolement (fin J) dont suspects,295,168,3,466
Taux d'occupation,78 %,"129,6 %","60,0 %","87,4 %"
