Indicateur,Ituri,Nord-Kivu,Haut-Uélé,Tshopo,Sud-Kivu,Total
Report (J-1),7,156,0,ND,0,163
Nouvelles alertes reçues,562,582,22,ND,6,1 172
Total alertes du jour,569,738,22,ND,6,1 335
Alertes investiguées,279,570,21,ND,6,876
Taux d'investigation (24 h),"49,0 %","77,2 %","95,5 %",ND,"100,0 %","65,6 %"
Alertes validées — vivantes,113,40,19,ND,1,173
Alertes validées — décédées (comm.),61,26,2,ND,0,89
Total cas suspects du jour,179,66,21,ND,1,267
