DPS,Alertes Reçues Vivants,Alertes Reçues Décédés,Total alertes,Alertes vérifiées et validées (cas suspect) Vivants,Alertes vérifiées et validées (cas suspect) Décédés,Alertes vérifiées et invalidées (non-cas suspect) Vivants,Alertes vérifiées et invalidées (non-cas suspect) Décédés,Nombre de suspects investigués,Nombre de suspects investigués et transférés au CT/CTE (du jour)
Haut-Uélé,18,6,24,18,5,0,0,23,11
Bas Uélé,28,2,30,4,1,24,1,5,0
Ituri,745,74,819,142,64,429,6,206,121
Nord-Kivu,1 104,54,1158,100,54,994,0,154,83
Sud-Kivu,8,0,8,5,0,3,0,5,5
Tshopo,104,1,105,5,1,99,0,6,2
Total Général,2007,137,2 144,274,125,1549,7,399,222
