id,source,title,report_date,chars,path,url,licence
afro-01,who_afro,"Weekly External Situation Report 01, Data as of 18 May 2026 - DRC and Uganda",2026-05-18,16273,data/corpus/who-afro/afro-01.md,https://iris.who.int/handle/10665/385886,CC BY-NC-SA 3.0 IGO
afro-02,who_afro,"Weekly External Situation Report 02, Data as of 24 May 2026 - Democratic Republic of the Congo and Uganda",2026-05-24,21653,data/corpus/who-afro/afro-02.md,https://iris.who.int/handle/10665/386242,CC BY-NC-SA 3.0 IGO
afro-03,who_afro,"Weekly External Situation Report 03, Data as of 31 May 2026 - Democratic Republic of the Congo and Uganda",2026-05-31,27951,data/corpus/who-afro/afro-03.md,https://iris.who.int/handle/10665/386347,CC BY-NC-SA 3.0 IGO
afro-04,who_afro,"Weekly External Situation Report 04, Data as of 07 June 2026 -  Democratic Republic of the Congo and Uganda",2026-06-07,28536,data/corpus/who-afro/afro-04.md,https://iris.who.int/handle/10665/386364,CC BY-NC-SA 3.0 IGO
afro-05,who_afro,"Weekly External Situation Report 05, Data as of 14 June 2026 - Democratic Republic of the Congo and Uganda",2026-06-14,33348,data/corpus/who-afro/afro-05.md,https://iris.who.int/handle/10665/386445,CC BY-NC-SA 3.0 IGO
afro-06,who_afro,"Weekly External Situation Report 06, Data as of 21 June 2026 - Democratic Republic of the Congo and Uganda",2026-06-21,32982,data/corpus/who-afro/afro-06.md,https://iris.who.int/handle/10665/386544,CC BY-NC-SA 3.0 IGO
afro-07,who_afro,"Weekly External Situation Report 07, Data as of 28 June 2026 - Democratic Republic of the Congo and Uganda",2026-06-28,33716,data/corpus/who-afro/afro-07.md,https://iris.who.int/handle/10665/386596,CC BY-NC-SA 3.0 IGO
afro-08,who_afro,"Weekly External Situation Report 08, Data as of 05 July 2026 - Democratic Republic of the Congo and Uganda",2026-07-05,35957,data/corpus/who-afro/afro-08.md,https://iris.who.int/handle/10665/386672,CC BY-NC-SA 3.0 IGO
afro-09,who_afro,"Weekly External Situation Report 09, Data as of 12 July 2026 - Democratic Republic of the Congo and Uganda",2026-07-12,37731,data/corpus/who-afro/afro-09.md,https://iris.who.int/handle/10665/386714,CC BY-NC-SA 3.0 IGO
afro-10,who_afro,"Weekly External Situation Report 10, Data as of 19 July 2026 - Democratic Republic of the Congo and Uganda",2026-07-19,34213,data/corpus/who-afro/afro-10.md,https://iris.who.int/handle/10665/386780,CC BY-NC-SA 3.0 IGO
afro-11,who_afro,"Weekly External Situation Report 11, Data as of 26 July 2026 - Democratic Republic of the Congo and Uganda",2026-07-26,37907,data/corpus/who-afro/afro-11.md,https://iris.who.int/handle/10665/386797,CC BY-NC-SA 3.0 IGO
afro-12,who_afro,"Weekly External Situation Report 12, Data as of 02 August 2026 - Democratic Republic of the Congo and Uganda",2026-08-02,35285,data/corpus/who-afro/afro-12.md,https://iris.who.int/handle/10665/386882,CC BY-NC-SA 3.0 IGO
afro-13,who_afro,"Weekly External Situation Report 13, Data as of 09 August 2026 - Democratic Republic of the Congo and Uganda",2026-08-09,29612,data/corpus/who-afro/afro-13.md,https://iris.who.int/handle/10665/386915,CC BY-NC-SA 3.0 IGO
afro-14,who_afro,"Weekly External Situation Report 14, Data as of 16 August 2026 - Democratic Republic of the Congo and Uganda",2026-08-16,32819,data/corpus/who-afro/afro-14.md,https://iris.who.int/handle/10665/386952,CC BY-NC-SA 3.0 IGO
afro-15,who_afro,"Weekly External Situation Report 15, Data as of 23 August 2026 - Democratic Republic of the Congo and Uganda",2026-08-23,33756,data/corpus/who-afro/afro-15.md,https://iris.who.int/handle/10665/386996,CC BY-NC-SA 3.0 IGO
afro-16,who_afro,"Weekly External Situation Report 16, Data as of 30 August 2026 - Democratic Republic of the Congo and Uganda",2026-08-30,29036,data/corpus/who-afro/afro-16.md,https://iris.who.int/handle/10665/387061,CC BY-NC-SA 3.0 IGO
afro-17,who_afro,"Weekly External Situation Report 17, Data as of 06 September 2026 - Democratic Republic of the Congo and Uganda",2026-09-06,30029,data/corpus/who-afro/afro-17.md,https://iris.who.int/handle/10665/387440,CC BY-NC-SA 3.0 IGO
afro-18,who_afro,"Weekly External Situation Report 18, Data as of 13 September 2026 - Democratic Republic of the Congo and Uganda",2026-09-13,32255,data/corpus/who-afro/afro-18.md,https://iris.who.int/handle/10665/387547,CC BY-NC-SA 3.0 IGO
afro-19,who_afro,"Weekly External Situation Report 19, Data as of 20 September 2026 - Democratic Republic of the Congo and Uganda",2026-09-20,35741,data/corpus/who-afro/afro-19.md,https://iris.who.int/handle/10665/387652,CC BY-NC-SA 3.0 IGO
2026-DON602,who_don,"Ebola disease caused by Bundibugyo virus, Democratic Republic of the Congo & Uganda",2026-05-16,27569,data/corpus/who-dons/2026-DON602.md,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON602,CC BY-NC-SA 3.0 IGO
2026-DON603,who_don,Ebola disease caused by Bundibugyo virus – Democratic Republic of the Congo,2026-05-21,42486,data/corpus/who-dons/2026-DON603.md,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON603,CC BY-NC-SA 3.0 IGO
2026-DON605,who_don,"Ebola disease caused by Bundibugyo virus, Democratic Republic of the Congo & Uganda",2026-05-29,12760,data/corpus/who-dons/2026-DON605.md,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON605,CC BY-NC-SA 3.0 IGO
2026-DON606,who_don,"Ebola disease caused by Bundibugyo virus, Democratic Republic of the Congo & Uganda",2026-06-08,15202,data/corpus/who-dons/2026-DON606.md,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON606,CC BY-NC-SA 3.0 IGO
2026-DON607,who_don,"Ebola disease caused by Bundibugyo virus, Democratic Republic of the Congo & Uganda",2026-06-13,15358,data/corpus/who-dons/2026-DON607.md,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON607,CC BY-NC-SA 3.0 IGO
2026-DON608,who_don,"Ebola disease caused by Bundibugyo virus, Democratic Republic of the Congo & Uganda",2026-06-19,15440,data/corpus/who-dons/2026-DON608.md,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON608,CC BY-NC-SA 3.0 IGO
2026-DON612,who_don,"Ebola disease caused by Bundibugyo virus, Democratic Republic of the Congo & Uganda",2026-07-03,17011,data/corpus/who-dons/2026-DON612.md,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON612,CC BY-NC-SA 3.0 IGO
2026-DON613,who_don,"Ebola disease caused by Bundibugyo virus, Democratic Republic of the Congo & Uganda",2026-07-17,17942,data/corpus/who-dons/2026-DON613.md,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON613,CC BY-NC-SA 3.0 IGO
2026-DON614,who_don,Ebola disease caused by Bundibugyo virus - Democratic Republic of the Congo,2026-08-01,18430,data/corpus/who-dons/2026-DON614.md,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON614,CC BY-NC-SA 3.0 IGO
2026-DON615,who_don,Ebola disease caused by Bundibugyo virus - Democratic Republic of the Congo,2026-08-14,19954,data/corpus/who-dons/2026-DON615.md,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON615,CC BY-NC-SA 3.0 IGO
2026-DON616,who_don,Ebola disease caused by Bundibugyo virus - Democratic Republic of the Congo,2026-08-28,20640,data/corpus/who-dons/2026-DON616.md,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON616,CC BY-NC-SA 3.0 IGO
